ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2247460,Liebherr,CS 1350B,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.2,23.6,13,15.6,491,539,11,No,,,,09/01/2015,08/27/2015,"United States, Canada",ES_1017655_CS 1350B_09082015040806_70045146,No
2297504,Liebherr,CS1400PC,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,Yes,66.3,29.4,12.8,15.1,359,451,20,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CS1400PC_06132017025112_70142355,Yes
2297505,Liebherr,CS1400R,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,Yes,66.3,29.4,12.8,15.1,359,451,20,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CS1400R_06132017025112_70142355,Yes
2297506,Liebherr,CS1400R-IM,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,66.3,29.4,12.8,15.1,465,535,16,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CS1400R-IM_06132017025112_70142355,No
2297507,Liebherr,CS1401R-IM,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,66.3,29.4,12.8,15.1,465,535,16,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CS1401R-IM_06132017025112_70142355,No
2297508,Liebherr,CS1410,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,Yes,73.3,29.4,14.7,17,372,467,20,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CS1410_06132017025112_70142355,Yes
2297509,Liebherr,CS1640B,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.5,29.4,16,19.3,496,572,16,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CS1640B_06132017025112_70142355,No
2222455,Liebherr,CS 2061,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.5,35.8,19.5,24.1,532,614,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_CS 2061_10022014105208_2767851,No
2222454,Liebherr,CS 2062,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.5,35.8,19.5,24.1,532,614,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_CS 2062_10022014105208_2767851,No
2312311,Liebherr,CS2080,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.8,35.9,19.5,24.1,532,614,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_CS2080_03062018040405_70174509,No
2312312,Liebherr,CS2081,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.8,35.9,19.5,24.1,532,614,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_CS2081_03062018040405_70174509,No
2312313,Liebherr,CS2082,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,80.3,35.9,19.5,24.1,532,614,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_CS2082_03062018040405_70174509,No
2203884,Liebherr,HC 1000B,,Bottom Freezer,5-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,Automatic,No,Yes,No,No,Yes,69.7,22.3,9.4,11.3,395,443,11,No,,,,02/12/2014,02/11/2014,"United States, Canada",ES_1017655_HC 1000B_02122014024550_2701475,No
