ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Oven Type,Size,Fuel Type,Input Rate (kW),Input Rate (Btu/hr),Electric Oven Convection Mode Idle Energy Rate (kW),Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr),Gas Oven Convection Mode Cooking Energy Efficiency (%),Electric Oven Convection Mode Cooking Energy Efficiency (%),Door Type,Additional Door Type(s),Method of Steam Generation,Steam Pan Capacity,Half-Size Sheet Pan Capacity,Full-Size Sheet Pan Capacity,Gas Oven Convection Mode Electric Idle Energy Rate (kW),Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr),Gas Oven Steam Mode Electric Idle Energy Rate (kW),Electric Oven Steam Mode Idle Energy Rate (kW),Convection Mode Production Capacity (lbs/hr),Convection Mode Average Water Consumption Rate (gallons/hr),Gas Oven Steam Mode Cooking Energy Efficiency (%),Electric Oven Steam Mode Cooking Energy Efficiency (%),Steam Mode Production Capacity (lbs/hr),Steam Mode Average Water Consumption Rate (gallons/hr),Rack Oven Baking-Energy Efficiency (%),Baking Production Capacity (lbs/hr),Set-Back Idle Mode,Date Available on Market,Date Certified,Markets,CB Model Identifier
2309809,UNOX S.p.A.,UNOX S.p.A.,XAFT-04-FS-E***,XAFT-04-FS-E***,,Convection,Full-size,Electric,7.6,,1.6,,,78,Glass,N/A,,,,4,,,,,70.96,,,,,,,,,01/29/2018,01/31/2018,"United States, Canada",ES_1134474_XAFT-04-FS-E***_01312018194545_7945680
2309815,UNOX S.p.A.,UNOX S.p.A.,XAFT-04HS-E***,XAFT-04HS-E***,,Convection,Half-size,Electric,3.8,,0.79,,,74,Glass,N/A,,,,4,,,,,33.34,,,,,,,,,01/29/2018,01/31/2018,"United States, Canada",ES_1134474_XAFT-04HS-E***_01312018201102_9462864
2268435,UNOX S.p.A.,UNOX S.p.A.,XAVC-0511-EPa-xx,XAVC-0511-EPa-xx,",XAVC-0511-EPL-208V,",Combination,Half-size,Electric,5.8,,0.81,,,76,Glass,N/A,Boiler-less,5,,,,,,0.76,46.08,0,,63,58.96,2.93,,,,05/13/2016,06/01/2016,United States,ES_1134474_XAVC-0511-EPa-xx_06012016201347_2027953
2268436,UNOX S.p.A.,UNOX S.p.A.,XAVC-0511-EPa-xx,XAVC-0511-EPa-xx,",XAVC-0511-EPL-240V,",Combination,Half-size,Electric,7.7,,0.81,,,78,Glass,N/A,Boiler-less,5,,,,,,0.69,51.13,0,,65,59.97,2.93,,,,05/13/2016,06/01/2016,United States,ES_1134474_XAVC-0511-EPa-xx_06012016200726_1646333
2263533,UNOX S.p.A.,UNOX S.p.A.,XAVC-06FS-EPa-xx,XAVC-06FS-EPa-xx,,Combination,Full-size,Electric,14.3,,1.13,,,79,Glass,N/A,Boiler-less,12,,6,,,,1.33,116.6,0.2,,65,179.1,6.8,,,,09/25/2015,03/31/2016,"United States, Canada",ES_1134474_XAVC-06FS-EPa-xx_03312016185606_0566585
2252008,UNOX S.p.A.,UNOX S.p.A.,XAVC-06FS-EPR,XAVC-06FS-EPR,,Combination,Full-size,Electric,14.3,,1.13,,,79,Glass,Glass,Boiler-less,12,,6,,,,1.33,116.6,0.2,,65,179.1,6.8,,,,09/25/2015,11/06/2015,"United States, Canada",ES_1134474_XAVC-06FS-EPR_11062015185237_5957457
2268438,UNOX S.p.A.,UNOX S.p.A.,XAVC-06FS-GPa-xx,XAVC-06FS-GPa-xx,",XAVC-06FS-GPL,",Combination,Full-size,Gas,,81891,,2330,57,,Glass,N/A,Boiler-less,12,,,0.77,3869,0.73,,52.38,0,48,,76.76,4.3,,,,05/13/2016,06/01/2016,United States,ES_1134474_XAVC-06FS-GPa-xx_06012016202051_2451055
2277280,UNOX S.p.A.,UNOX S.p.A.,XAVC-1011-EPx,XAVC-1011-EPx,",XAVC-1011-EPL,",Combination,Half-size,Electric,12,,1.25,,,79,Glass,N/A,Boiler-less,10,,,,,,1.11,87.39,0,,63,108.16,2.92,,,,08/26/2016,08/31/2016,United States,ES_1134474_XAVC-1011-EPx_08312016174053_5253145
2277281,UNOX S.p.A.,UNOX S.p.A.,XAVC-1011-EPx,XAVC-1011-EPx,",XAVC-1011-EPL,",Combination,Half-size,Electric,15.5,,1.27,,,82,Glass,N/A,Boiler-less,10,,,,,,1.09,94.05,0,,68,97.14,0.27,,,,08/26/2016,08/31/2016,United States,ES_1134474_XAVC-1011-EPx_08312016173606_4966261
2295147,UNOX S.p.A.,UNOX S.p.A.,XAVC-1011-GP*-*,XAVC-1011-GP*-*,"XAVC-1011-GPL,XAVC-1011-GPL-*,* - can be letter identification of aesthetic differences; XAVC-1011-GPR,XAVC-1011-GPR-*,* - can be letter identification of aesthetic differences",Combination,Half-size,Gas,,81891,,2825,59,,Glass,N/A,Boiler-less,10,,,0.8,3190,0.75,,94.8,,57,,145,2.07,,,,04/28/2017,04/28/2017,United States,ES_1134474_XAVC-1011-GP*-*_04292017191011_3011869
2263534,UNOX S.p.A.,UNOX S.p.A.,XAVC-10FS-EPa-xx,XAVC-10FS-EPa-xx,,Combination,Full-size,Electric,21.6,,1.57,,,83,Glass,N/A,Boiler-less,20,,10,,,,1.65,191.7,0,,63,287.4,14.4,,,,09/25/2015,03/31/2016,"United States, Canada",ES_1134474_XAVC-10FS-EPa-xx_03312016190324_1004272
2252007,UNOX S.p.A.,UNOX S.p.A.,XAVC-10FS-EPR,XAVC-10FS-EPR,,Combination,Full-size,Electric,21.6,,1.57,,,83,Glass,Glass,Boiler-less,20,,10,,,,1.65,191.7,0,,63,287.4,14.4,,,,09/25/2015,11/06/2015,"United States, Canada",ES_1134474_XAVC-10FS-EPR_11062015184347_5427687
2263535,UNOX S.p.A.,UNOX S.p.A.,XAVC-10FS-GPa-xx,XAVC-10FS-GPa-xx,,Combination,Full-size,Gas,,119424,,4051,63,,Glass,N/A,Boiler-less,20,,10,1.09,4765,1.08,,188.6,0,49,,260,12.7,,,,09/25/2015,03/31/2016,"United States, Canada",ES_1134474_XAVC-10FS-GPa-xx_03312016190838_1318844
2277279,UNOX S.p.A.,UNOX S.p.A.,XAVC-16FS-GPx,XAVC-16FS-GPx,",XAVC-16FS-GPL,",Combination,Full-size,Gas,,238850,,9379,59,,Glass,N/A,Boiler-less,32,,,1.74,8361,1.65,0.76,291.72,0,49,,400.2,8.93,,,,08/26/2016,08/31/2016,United States,ES_1134474_XAVC-16FS-GPx_08312016165655_2615114
2305346,UNOX S.p.A.,UNOX S.p.A.,XEFT-03EU-****-*,XEFT-03EU-****-*,,Convection,Full-size,Electric,3.5,,0.8,,,86,Glass,N/A,,,,4,,,,,49.51,,,,,,,,,10/09/2017,10/20/2017,"United States, Canada",ES_1134474_XEFT-03EU-****-*_10202017150247_1767381
2305347,UNOX S.p.A.,UNOX S.p.A.,XEFT-03HS-****-*,XEFT-03HS-****-*,,Convection,Half-size,Electric,3,,0.62,,,78,Glass,N/A,,,3,,,,,,29.87,,,,,,,,,10/09/2017,10/20/2017,"United States, Canada",ES_1134474_XEFT-03HS-****-*_10202017145115_1075232
2305357,UNOX S.p.A.,UNOX S.p.A.,XEFT-04EU-****-*,XEFT-04EU-****-*,,Convection,Full-size,Electric,6.9,,1.02,,,78,Glass,N/A,,,,4,,,,,73.68,,,,,,,,,10/09/2017,10/20/2017,"United States, Canada",ES_1134474_XEFT-04EU-****-*_10202017171655_9815823
2305350,UNOX S.p.A.,UNOX S.p.A.,XEFT-04HS-****-*,XEFT-04HS-****-*,,Convection,Half-size,Electric,3.5,,0.68,,,80,Glass,N/A,,,4,,,,,,38.1,,,,,,,,,10/09/2017,10/20/2017,"United States, Canada",ES_1134474_XEFT-04HS-****-*_10202017151848_2728903
2305352,UNOX S.p.A.,UNOX S.p.A.,XEFT-06EU-****-*,XEFT-06EU-****-*,,Convection,Full-size,Electric,10.3,,1.2,,,84,Glass,N/A,,,,6,,,,,115.84,,,,,,,,,10/09/2017,10/20/2017,"United States, Canada",ES_1134474_XEFT-06EU-****-*_10202017160707_5627194
2309808,UNOX S.p.A.,UNOX S.p.A.,XEFT-06FS-E***,XEFT-06FS-E***,,Convection,Full-size,Electric,10.3,,1.31,,,80,Glass,N/A,,,,6,,,,,111.8,,,,,,,,,01/29/2018,01/31/2018,"United States, Canada",ES_1134474_XEFT-06FS-E***_01312018194052_7652888
2309814,UNOX S.p.A.,UNOX S.p.A.,XEFT-10FS-E***,XEFT-10FS-E***,,Convection,Full-size,Electric,15.5,,1.6,,,83,Glass,N/A,,,,10,,,,,184.17,,,,,,,,,01/29/2018,01/31/2018,"United States, Canada",ES_1134474_XEFT-10FS-E***_01312018200714_9234864
2295145,UNOX S.p.A.,UNOX S.p.A.,XEVC-0511-EP*-*,XEVC-0511-EP*-*,"XEVC-0511-EPL,XEVC-0511-EPL-*,* - can be letter identification of aesthetic differences; XEVC-0511-EPR,XEVC-0511-EPR-*,* - can be letter identification of aesthetic differences",Combination,Half-size,Electric,9.3,,0.73,,,81,Glass,N/A,Boiler-less,5,,,,,,0.66,49.7,0,,65,65.3,1.2,,,,04/28/2017,04/28/2017,United States,ES_1134474_XEVC-0511-EP*-*_04292017141828_5508048
2295146,UNOX S.p.A.,UNOX S.p.A.,XEVC-1011-EP*-*,XEVC-1011-EP*-*,"XEVC-1011-EPL,XEVC-1011-EPL-*,* - can be letter identification of aesthetic differences; XEVC-1011-EPR,XEVC-1011-EPR-*,* - can be letter identification of aesthetic differences",Combination,Half-size,Electric,18.5,,1.08,,,78,Glass,N/A,Boiler-less,10,,,,,,1.14,101.7,0,,71,158.6,2.88,,,,04/28/2017,04/28/2017,United States,ES_1134474_XEVC-1011-EP*-*_04292017144807_7287288
2224692,Vulcan (A division of ITW Food Equipment Group),Hobart,HGC5,HGC5,,Convection,Full-size,Gas,,50000,,9601,51,,Glass,N/A,,1,1,5,0.13,,,,106.23,,,,,,,,,04/04/2013,11/05/2014,"United States, Canada",ES_1017245_HGC5_11052014123048_1002257
2224693,Vulcan (A division of ITW Food Equipment Group),Hobart,HGC5D,HGC5D,,Convection,Full-size,Gas,,50000,,9601,51,,Glass,N/A,,1,1,5,0.13,,,,106.23,,,,,,,,,04/04/2013,11/05/2014,"United States, Canada",ES_1017245_HGC5D_11052014123048_1002258
2224695,Vulcan (A division of ITW Food Equipment Group),Hobart,HGC5DX,HGC5DX,,Convection,Full-size,Gas,,50000,,9601,51,,Glass,N/A,,1,1,5,0.13,,,,106.23,,,,,,,,,04/04/2013,11/05/2014,"United States, Canada",ES_1017245_HGC5DX_11052014123048_1002260
2224694,Vulcan (A division of ITW Food Equipment Group),Hobart,HGC5X,HGC5X,,Convection,Full-size,Gas,,50000,,9601,51,,Glass,N/A,,1,1,5,0.13,,,,106.23,,,,,,,,,04/04/2013,11/05/2014,"United States, Canada",ES_1017245_HGC5X_11052014123048_1002259
2331608,Vulcan (A division of ITW Food Equipment Group),Vulcan,ECO2D,ECO2D,,Convection,Half-size,Electric,5.4,,0.98,,,76,Glass/Solid,N/A,,,5,,,,,,60.5,,,,,,,,,11/01/2018,12/11/2018,"United States, Canada",ES_1017245_ECO2D_12182018100718_1002290
2224696,Vulcan (A division of ITW Food Equipment Group),Vulcan,SG6,SG6,,Convection,Full-size,Gas,,59897,,9527,48,,Glass,N/A,,,,5,0.59,,,,92.1,,,,,,,,,04/04/2013,11/05/2014,"United States, Canada",ES_1017245_SG6_11052014123048_1002261
2224293,Vulcan (A division of ITW Food Equipment Group),Vulcan,VC3E,VC3E,"VC5E,VC5E,",Convection,Full-size,Electric,12.55,,1.57,,,83,Glass,N/A,,1,10,5,,,,,132.5,,,,,,,,,04/04/2013,11/05/2014,"United States, Canada",ES_1017245_VC3E_11052014123048_1002245
2224682,Vulcan (A division of ITW Food Equipment Group),Vulcan,VC4GD,VC4GD,"VC4GC,VC4GC,; VC6GC,VC6GC,; VC6GD,VC6GD,",Convection,Full-size,Gas,,50000,,9601,51,,Glass,N/A,,,,5,0.13,,,,106.23,,,,,,,,,04/04/2013,11/05/2014,"United States, Canada",ES_1017245_VC44GD_11052014123048_1002247
2270180,Vulcan (A division of ITW Food Equipment Group),Vulcan,VC5GD-11D1,VC5GD-11D1,,Convection,Full-size,Gas,,50000,,10280,56,,Glass,N/A,,1,10,5,0.16,,,,144.1,,,,,,,,,04/01/2016,06/10/2016,"United States, Canada",ES_1017245_VC5GD-11D1_06172016114417_1002275
2200240,Vulcan (A division of ITW Food Equipment Group),Vulcan / Wolf,SG4,SG4,,Convection,Full-size,Gas,,59897,,9527,48,,Glass,N/A,,,,5,0,,,,92.1,,,,,,,,,03/15/2013,12/31/2013,"United States, Canada",ES_1017245_SG4_01092014171741_1002247
2200241,Vulcan (A division of ITW Food Equipment Group),Vulcan / Wolf,SG44,SG44,,Convection,Full-size,Gas,,59897,,9527,48,,Glass,N/A,,,,5,0,,,,92.1,,,,,,,,,03/15/2013,12/31/2013,"United States, Canada",ES_1017245_SG44_01102014141507_1002252
2200242,Vulcan (A division of ITW Food Equipment Group),Vulcan / Wolf,VC4GD,VC4GD,,Convection,Full-size,Gas,,42990,,10200,52,,Glass,N/A,,,,5,1.52,,,,136,,,,,,,,,01/01/2007,12/30/2013,"United States, Canada",ES_1017245_VC4GD_01092014171741_1002245
2200239,Vulcan (A division of ITW Food Equipment Group),Vulcan / Wolf,VC6GD,VC6GD,,Convection,Full-size,Gas,,42990,,10200,52,,Glass,N/A,,,,5,1.52,,,,136,,,,,,,,,01/01/2007,12/30/2013,"United States, Canada",ES_1017245_VC6GD_01092014171741_1002246
2224688,Vulcan (A division of ITW Food Equipment Group),Wolf,WKGD,WKGD,,Convection,Full-size,Gas,,50000,,9601,51,,Glass,N/A,,1,1,5,0.13,,,,106.23,,,,,,,,,04/04/2013,11/05/2014,"United States, Canada",ES_1017245_WKGD1_11052014123048_1002253
