ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Energy Factor (EF),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2276389,Midea,MDC3203DBB3A,,Compact,203,,,,3.1,,,No,,,,07/30/2016,08/01/2016,"United States, Canada",ES_1030337_MDC3203DBB3A_08242016030400_70088750,No
2276390,Midea,MDC3203DSS3A,,Compact,203,,,,3.1,,,No,,,,07/30/2016,08/01/2016,"United States, Canada",ES_1030337_MDC3203DSS3A_08242016030400_70088750,No
2276391,Midea,MDC3203DWW3A,,Compact,203,,,,3.1,,,No,,,,07/30/2016,08/01/2016,"United States, Canada",ES_1030337_MDC3203DWW3A_08242016030400_70088750,No
2294814,Midea,MDC3602FBB3A,,Compact,203,,,,3.1,,,No,,,,04/24/2017,03/23/2017,"United States, Canada",ES_1030337_MDC3602FBB3A   _04242017020345_70117160,No
2294815,Midea,MDC3602FSS3A,,Compact,203,,,,3.1,,,No,,,,04/24/2017,03/23/2017,"United States, Canada",ES_1030337_MDC3602FSS3A_04242017020345_70117160,No
2294813,Midea,MDC3602FWW3A,,Compact,203,,,,3.1,,,No,,,,04/24/2017,03/23/2017,"United States, Canada",ES_1030337_MDC3602FWW3A_04242017020345_70117160,No
2313007,Midea,MDT24H3A**,",,UPC 8-17986026791",Standard,260,307,15,,3.2,5,36,No,,,,03/19/2018,03/22/2018,"United States, Canada",ES_1030337_MDT24H3A**_03222018125435_3275373,No
2276383,Midea,MP9242AW,,Standard,270,307,12,,3.5,5,30,No,,,,07/30/2016,08/01/2016,"United States, Canada",ES_1030337_MP9242AW_08242016030400_70088750,No
2320101,Midea,WQP12-7713I-US,,Standard,234,307,24,,3.5,5,30,No,,,,05/18/2018,08/23/2017,"United States, Canada",ES_1030337_WQP12-7713I-US_05182018124215_7335484,No
2320102,Midea,WQP12-7739-US,,Standard,234,307,24,,3.5,5,30,No,,,,05/18/2018,08/23/2017,"United States, Canada",ES_1030337_WQP12-7739-US_05182018124235_7355744,No
2300033,Midea,WQP12-9338M-US,,Standard,270,307,12,,3.5,5,30,No,,,,07/10/2017,07/17/2017,"United States, Canada",ES_1030337_WQP12-9338M-US_07182017125552_2552809,No
2255012,Miele,G 4227 SCU,,Standard,270,307,12,,3.5,5,30,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4227 SCU_12162015020838_70057049,No
2255011,Miele,G 4227 U,,Standard,270,307,12,,3.5,5,30,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4227 U_12162015020838_70057049,No
2278988,Miele,G 4228 SCU,,Standard,230,307,25,,3.5,5,30,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4228 SCU_09122016020545_70097737,No
2278989,Miele,G 4228 U,,Standard,230,307,25,,3.5,5,30,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4228 U_09122016020545_70097737,No
2255013,Miele,G 4700 SCi,,Standard,270,307,12,,3,5,40,No,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 4700 SCi_12162015020838_70057049,No
2278990,Miele,G 4720 SCi,,Standard,210,307,32,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4720 SCi_09122016020545_70097737,Yes
2255014,Miele,G 4760 SCVi,,Standard,270,307,12,,3,5,40,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4760 SCVi_12162015020838_70057049,No
2278991,Miele,G 4780 SCVi,,Standard,210,307,32,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4780 SCVi_09122016020545_70097737,Yes
2255016,Miele,G 4925 SCU,,Standard,270,307,12,,3.2,5,36,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4925 SCU_12162015020838_70057049,No
2255015,Miele,G 4925 U,,Standard,270,307,12,,3.2,5,36,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4925 U_12162015020838_70057049,No
2278992,Miele,G 4926 SCU,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4926 SCU_09122016020545_70097737,Yes
2278993,Miele,G 4926 U,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4926 U_09122016020545_70097737,Yes
2282216,Miele,G 4948 SCU,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,10/25/2016,"United States, Canada",ES_0031629_G 4948 SCU_10252016030307_70105233,Yes
2282215,Miele,G 4948 U,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,10/25/2016,"United States, Canada",ES_0031629_G 4948 U_10252016030307_70105233,Yes
2255017,Miele,G 4970 SCVi,,Standard,270,307,12,,3.2,5,36,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4970 SCVi_12162015020838_70057049,No
