ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Cooling Capacity (Btu/hr),Type,Reverse Cycle,Casement Window,Product Class,Variable Speed Compressor,Energy Efficiency Ratio (EER),Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier
2287352,Sea Breeze,WA46YRED,,6000,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,372,No,,,,12/27/2016,12/27/2016,"United States, Canada",ES_1108715_WA46YRED_12292016090259_2179097
2256670,Sea Breeze,WA48YREC,,8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,500,No,,,,01/08/2016,11/02/2015,United States,ES_1108715_WA48YREC_01082016160254_9165613
2287354,Sea Breeze,WA48YRED,,8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,500,No,,,,12/27/2016,12/27/2016,"United States, Canada",ES_1108715_WA48YRED_12292016090328_2208872
2334868,Soleusair,TTWH1-10-01,",TTWM1-10-01,; ,TTWS1-10-01,",10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,03/11/2019,03/15/2019,United States,ES_1139361_TTWH1-10-01_03122019103214_8912622
2334869,Soleusair,WCH1-08E-01,",WCH2-08E-##*,; ,WCH2-08E-##,; ,WCM1-08E-01,; ,WCM2-08E-##*,; ,WCM2-08E-##,; ,WCS1-08E-01,; ,WCS2-08E-##*,; ,WCS2-08E-##,",8000,Window,No,Casement-slider,16. Casement-Slider,,,11.4,10,526,No,,,,03/11/2019,03/15/2019,United States,ES_1139361_WCH1-08E-01_03122019103627_4169580
2316379,Soleusair,WM1-06E-02,,6200,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,384,No,,,,03/28/2018,03/29/2018,"United States, Canada",ES_1135749_WM1-06E-02_04032018065429_8469985
2316380,Soleusair,WM1-08E-02,,8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,500,No,,,,03/28/2018,03/29/2018,"United States, Canada",ES_1135749_WM1-08E-02_04032018065540_8540462
2316378,Soleusair,WM1-10E-02,,10200,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,638,No,,,,03/28/2018,03/29/2018,"United States, Canada",ES_1135749_WM1-10E-02_04032018065019_8219539
2316381,Soleusair,WM1-12E2-02,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,03/28/2018,03/29/2018,"United States, Canada",ES_1135749_WM1-12E2-02_04032018065634_8594523
2316384,Soleusair,WM1-15E-02,,15000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,953,No,,,,03/28/2018,03/29/2018,"United States, Canada",ES_1135749_WM1-15E-02_04032018065739_8659847
