ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier
2292580,Danby Designer,DUF206E1*,,Upright Freezer,Automatic,No,No,No,No,21,37,492,547,10,No,03/05/2017,03/16/2017,"United States, Canada",ES_31682_DUF206E1*_03162017082013_2413623
2215466,Danby Designer,DUFM026B1*,,Upright Freezer,Manual,Yes,No,No,No,2.6,4.7,237,266,11,No,07/02/2014,07/14/2014,Canada,ES_31682_DUFM026B1*_07082014155558_8597375
2218453,Danby Designer,DUFM043A1*,,Upright Freezer,Manual,Yes,No,No,No,4.3,7.6,260,291,11,No,09/06/2014,07/25/2014,"United States, Canada",ES_0031682_DUFM043A1*_07222014114047_2736942
2273718,Danby Designer,DUFM059C1*,,Upright Freezer,Manual,Yes,No,No,No,5.9,10.4,256,316,19,No,07/20/2016,07/06/2016,"United States, Canada",ES_0031682_DUFM059C1*_07142016105701_70087492
2218455,Danby Designer,DUFM101A1*,,Upright Freezer,Manual,No,No,No,No,10.1,17.8,261,293,11,No,09/06/2014,07/25/2014,"United States, Canada",ES_0031682_DUFM101A1*_07222014114047_2736942
2288908,“Danby Designer” or “Danby”,DCF051A2*,,Chest Freezer,Manual,Yes,No,No,No,5.1,9,196,220,11,No,01/30/2017,01/03/2017,"United States, Canada",ES_0031682_DCF051A2*_01032017024918_70111997
2288903,“Danby Designer” or “Danby”,DCF071A4*,,Chest Freezer,Manual,Yes,No,No,No,7.1,12.5,225,252,11,No,01/30/2017,01/03/2017,"United States, Canada",ES_0031682_DCF071A4*_01032017024918_70111997
2288904,“Danby Designer” or “Danby”,DCF096A2*,,Chest Freezer,Manual,No,No,No,No,9.6,16.9,206,231,11,No,01/30/2017,01/03/2017,"United States, Canada",ES_0031682_DCF096A2*_01032017024918_70111997
2218450,Danby Designer or Danby,DCF071A3*,,Chest Freezer,Manual,Yes,No,No,No,7.1,12.5,225,252,11,No,09/06/2014,07/25/2014,"United States, Canada",ES_0031682_DCF071A3*_07222014114047_2736942
2301260,“Danby Designer” or “Danby”or “Danby Premiere ”,DUFM071A1*,,Upright Freezer,Manual,Yes,No,No,No,7.1,12.5,298,334,11,No,08/02/2017,06/26/2017,"United States, Canada",ES_0031682_DUFM071A1*_08022017035906_70142510
2218454,Danby Designer or Danby Premiere,DUFM085A2*,,Upright Freezer,Manual,No,No,No,No,8.5,15,247,277,11,No,09/06/2014,07/25/2014,"United States, Canada",ES_0031682_DUFM085A2*_07222014114047_2736942
2332298,"Danby or Danby Designer, Danby Premiere, Danby Diplomat, Silhouette, Silhouette Pro, Silhouette Sele",DCFM108A1*,,Chest Freezer,Manual,No,No,No,No,10.8,18.9,220,246,11,No,01/16/2019,11/20/2018,"United States, Canada",ES_0031682_DCFM108A1*_01072019124232_70202395
2307586,Danby or Danby Designer or Danby Premiere or Simplicity,DCF051A3*,,Chest Freezer,Manual,Yes,No,No,No,5.1,9,196,220,11,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DCF051A3*_12012017104808_70163948
2307587,Danby or Danby Designer or Danby Premiere or Simplicity,DCF071A5*,,Chest Freezer,Manual,Yes,No,No,No,7.1,12.5,225,252,11,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DCF071A5*_12012017104806_70163948
