ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Display Type,Panel Technology,Backlight Technology,Native Resolution (pixels),Total Native Resolution (megapixels),Screen Size (inches),Screen Area (square inches),Model Features,Features Enabled in Default On Mode,Features Enabled in Default Sleep Mode,Signal or Data Interfaces,Power Source,On Mode Power (watts),Maximum On Mode Power Limit for Signage Certification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power Limit for Signage Certification (watts),Off Mode Power (watts),On Mode Power at 12 Lux at 115 Volts (W),On Mode Power at 300 Lux (watts),Monitor Total Energy Consumption at 115 Volts (kWh/yr),Maximum Total Energy Consumption Limit for Monitor Certification (kWh/yr),Maximum Luminance (candelas per square meter),Enhanced-Performance Display?,Display Contrast Ratio  at 0 deg. Horiz. Viewing Angle,Reported Contrast Ratio at -85 Degrees (Left) Horizontal Viewing Angle,Reported Contrast Ratio at +85 Degrees (Right) Horizontal Viewing Angle,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets Most Efficient 2019 Criteria
2297176,Compumax Computer Ltd.,COMPUMAX,MONITOR LED,ML2022CM,,Monitor,IPS LCD,LED,1080 x 1920,2.1,21.5,200.63,None,None,None,"HDMI 1.4,VGA",Ac power supply,15.79,,0.11,,0.09,,,50,50.1,200,None,5000000,,,06/05/2017,06/06/2017,United States,ES_1080735_ML2022CM_06062017160802_5891928,No
2267103,Compumax Computer Ltd.,COMPUMAX,COMPUMAX LED24,ML2024CM,,Monitor,IPS LCD,LED,1080 x 1920,2.1,23.8,242.04,None,None,None,VGA,Ac power supply,16.07,,0.12,,0.11,,,50,54.1,250,None,5000000,,,04/18/2016,05/16/2016,United States,ES_1080735_ML2024CM_05162016163035_5718923,No
2284893,CTL Corporation,CTL,IP2153,LE22BW,,Monitor,TN LCD,LED,1920 x 1080,2.1,21.5,198.08,None,None,None,"HDMI 1.4,VGA,Other,DisplayPort 1.3",Ac power supply,14.51,,0.2,,0.18,,,45.66,50.62,250,None,1000,,,11/25/2016,11/24/2016,"United States, Canada",ES_20195_LE22BW_11242016090621_8381991,No
2305479,CTL Corporation,CTL,IP2154T,LE22BW,,Monitor,TN LCD,LED,,2.1,21.5,197.52,None,None,None,"HDMI 1.4,DisplayPort 1.2,VGA",Ac power supply,15.97,,0.2,,0.19,,,50.22,50.6,250,None,1000,,,10/11/2017,10/20/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_20195_LE22BW_10252017105015_1123385,No
2284791,CTL Corporation,CTL,IP2380S,LE42BW,,Monitor,TN LCD,LED,1920 x 1080,2.1,23.8,242.18,None,None,None,"HDMI 1.4,VGA,Other,DisplayPort 1.3",Ac power supply,14.93,,0.21,,0.12,,,46.94,54.15,250,None,1000,,,12/08/2016,11/24/2016,"United States, Canada",ES_20195_LE42BW_11242016092043_9243286,No
2284792,CTL Corporation,CTL,IP2780S,LE72BW,,Monitor,TN LCD,LED,1920 x 1080,2.1,27,311.67,None,None,None,"HDMI 1.4,VGA,Other,DisplayPort 1.3",Ac power supply,15.23,,0.13,,0.11,,,47.41,64.05,300,None,1000,,,12/11/2016,11/24/2016,"United States, Canada",ES_20195_LE72BW_11242016093739_0259883,Yes
2334237,CTL Corporation,CTL Corporation,CC1,LE72BW,,Monitor,TFT LCD,LED,,3.7,27,311.5,None,None,None,DisplayPort 1.2,Ac power supply,20.7,,0.25,,0.21,,,64.89,73.9,330,None,1000,,,02/26/2019,02/27/2019,United States,ES_20195_LE72BW_02282019170310_9305081,No
2295335,Dell Inc.,Alienware,AW2518HF,AW2518HFb,,Monitor,TN LCD,LED,1920 x 1080,2.1,24.5,255.05,None,None,None,"HDMI 1.4,DisplayPort 1.2,USB 3.0",Ac power supply,13.81,,0.3,,0.19,,,44.05,56.7,400,EPD I (32.9% CIE LUV/99% sRGB area or greater),1000,,,05/30/2017,05/02/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_AW2518HFb _05022017112013_3076036,Yes
2323246,Dell Inc.,DELL,C5519Q,C5519Qc,,Signage Display,TFT LCD,LED,,8.3,55,1275.67,"Full Network Connectivity,User Adjustable Backlight,Built-In Speakers","Full Network Connectivity,Built-In Speakers",Full Network Connectivity,"HDMI 2.0,DisplayPort 1.2,VGA,Other,USB 3.0",Ac power supply,87.23,115.1,1.22,3.5,0.5,,,,,350,None,4000,,,10/09/2018,07/23/2018,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_C5519Qc_07132018130823_3042871,No
2256733,Dell Inc.,DELL,C7016H,C7016Hf,,Signage Display,VA LCD,LED,1920 x 1080,2.1,69.5,2064.74,"Energy Gauge,Built-In Speakers","Energy Gauge,Built-In Speakers",None,"HDMI 1.4,DisplayPort 1.2,VGA,USB 2.0,Other",Ac power supply,118.53,150.4,0.27,0.5,0.17,,,,,400,None,4000,152,129,01/05/2016,01/15/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_C7016Hf_12242015142151_353204,No
