ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
2327582,A.O. Smith Corporation,A. O. Smith,SUF 60 120PE 301,BTH 400 301,,Gas Storage,Propane,Power Direct Vent,119,41.8,11,24,3,4,379.905,399.9,0.95,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 400 301_10122018170736_8517132
2327583,A.O. Smith Corporation,A. O. Smith,HCG3-100T199-3N 300,BTH 400A 301,,Gas Storage,Propane,Power Direct Vent,119,62.9,11,24,3,4,379.905,399.9,0.95,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 400A 301_10122018170739_1309578
2327584,A.O. Smith Corporation,American,HCG3-119T-400-3P 301,HCG3-119T400-3P 301,,Gas Storage,Propane,Power Direct Vent,119,63.5,12,30,4,6,379.905,399.9,0.95,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_HCG3-119T400-3P 301_10122018170744_8638573
2327585,A.O. Smith Corporation,American,AHCG3-119T-400-3P 301,AHCG3-119T400-3P 301,,Gas Storage,Propane,Power Direct Vent,119,63.5,12,30,4,6,379.905,399.9,0.95,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_AHCG3-119T400-3P 301_10122018170747_8748040
2327586,A.O. Smith Corporation,State,SUF 119 400 PE 301,SUF 119 400PE 301,,Gas Storage,Propane,Power Direct Vent,119,63.5,12,30,4,6,379.905,399.9,0.95,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_SUF 119 400PE 301_10122018170749_7777711
2327587,A.O. Smith Corporation,State,SUF 119 400 PEA 301,SUF 119 400PEA 301,,Gas Storage,Propane,Power Direct Vent,119,63.5,12,30,4,6,379.905,399.9,0.95,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_SUF 119 400PEA 301_10122018170751_3950464
2327588,A.O. Smith Corporation,State,Polaris,SPC 34 130 NE 200,,Gas Storage,Gas,Power Direct Vent,34,48.5,6.6,22,2,,124.8,130,0.96,650,,,,02/15/2017,12/10/2018,United States,ES_92897_SPC 34 130 NE 200_10122018170846_5746697
2327589,A.O. Smith Corporation,A. O. Smith,BTH 120A 301,BTH 250 300,,Gas Storage,Gas,Power Direct Vent,100,41.8,11,24,3,4,240,250,0.96,816,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_BTH 250 300_10122018170923_8271160
2327590,A.O. Smith Corporation,A. O. Smith,BTH 150 300,BTH 250 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,240,250,0.96,1000,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_BTH 250 301_10122018170926_4410893
2327591,A.O. Smith Corporation,A. O. Smith,BTH 199 300,BTH 250A 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,240,250,0.96,1000,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_BTH 250A 301_10122018170929_2710217
2327592,A.O. Smith Corporation,American,BTH 500A 301,HCG3-100T250-3P 301,,Gas Storage,Propane,Power Direct Vent,100,63.5,12,30,4,6,240,250,0.96,1000,,,,05/09/2014,12/13/2018,United States,ES_92897_HCG3-100T250-3P 301_10122018170932_9057692
2327593,A.O. Smith Corporation,State,SUF 100 250 PE 301,SUF 100 250PE 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,240,250,0.96,1000,,,,05/09/2014,12/13/2018,United States,ES_92897_SUF 100 250PE 301_10122018170935_6069477
2327594,A.O. Smith Corporation,State,SUF 100 250 PEA 301,SUF 100 250PEA 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,240,250,0.96,1000,,,,05/09/2014,12/13/2018,United States,ES_92897_SUF 100 250PEA 301_10122018170938_8861922
2327595,A.O. Smith Corporation,American,Polaris,PGC3 34 130 2NV 200,,Gas Storage,Gas,Power Direct Vent,34,48.5,6.6,22,2,,124.8,130,0.96,650,,,,02/15/2017,12/10/2018,United States,ES_92897_PGC3 34 130 2NV 200_10122018171008_3391517
2327596,A.O. Smith Corporation,State,Polaris,GHX 34 130 N 200,,Gas Storage,Gas,Power Direct Vent,34,48.5,6.6,22,2,,124.8,130,0.96,650,,,,02/15/2017,12/10/2018,United States,ES_92897_GHX 34 130 N 200_10122018171106_1884673
2327597,A.O. Smith Corporation,A. O. Smith,BTH 120A 300,BTH 150 300,,Gas Storage,Gas,Power Direct Vent,100,41.8,11,24,3,4,144,150,0.96,1000,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_BTH 150 300_10122018171201_0964908
2327598,A.O. Smith Corporation,American,Polaris,PG10 50 199 3NV 200,,Gas Storage,Gas,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 199 3NV 200_10122018171201_5076346
2327599,A.O. Smith Corporation,A. O. Smith,BTH 150A 300,BTH 150 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,147,150,0.98,1000,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_BTH 150 301_10122018171204_3408689
